id,Synopstationsnummer,Stationsname,Länge [°E],Breite [°N],Höhe [m],Startdatum,Enddatum,Bundesland,Sonnenschein,Globalstrahlung,Synop,Verknüpfungsnummer,Startdatum Teilzeitreihe,Enddatum Teilzeitreihe,zusammengesetzt
7604,11182,Wiener Neustadt Flugplatz,16.23147,47.83233,275.0,1992-10-20 09:10:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,112,1993-02-01 00:00:00+00:00,,nein
7610,11378,Gutenstein Mariahilfberg,15.87611,47.87139,708.9,1996-09-04 09:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,False,,,,,nein
7641,11079,Berndorf,16.10111,47.93917,337.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,164,2008-01-01 00:00:00+00:00,,nein
7653,8989081,Bad Vöslau,16.209444,47.961111,266.0,2021-09-30 00:10:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,False,,,,,nein
7704,11190,Eisenstadt Nordost,16.53833,47.85417,184.0,1993-08-04 14:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,True,,22,1989-01-01 00:00:00+00:00,,nein
7710,11387,Seibersdorf,16.504444,47.975,185.0,2002-08-27 13:40:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,197,1982-06-21 00:00:00+00:00,,nein
7714,8989114,Hornstein,16.452103,47.877606,312.0,2024-03-06 08:10:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,False,,,,,nein
7890,11072,Neusiedl am See,16.82889,47.94917,117.0,2017-01-20 00:10:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,True,,65,2017-01-20 00:00:00+00:00,,nein
7905,11194,Neusiedl am See,16.85778,47.9425,135.0,1992-11-05 14:30:00+00:00,2004-08-01 00:00:00+00:00,Burgenland,True,True,,65,1984-08-01 00:00:00+00:00,2004-07-31 23:59:59+00:00,nein
7906,11194,Neusiedl am See,16.84167,47.95083,148.0,2004-08-01 00:10:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,True,,65,2004-08-01 00:00:00+00:00,2017-01-19 23:59:59+00:00,nein
7912,11084,Podersdorf Strandbad,16.83444,47.86611,116.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,False,,,,,nein
7955,8989072,Andau,17.03333,47.7725,117.5,1995-08-02 11:20:00+00:00,2022-06-20 06:50:00+00:00,Burgenland,True,True,,218,1995-08-01 00:00:00+00:00,2021-06-30 23:59:59+00:00,nein
7956,11395,Andau,17.03556,47.77,117.0,2021-06-16 13:10:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,True,,218,2021-07-01 00:00:00+00:00,,nein
8301,11100,Sulzberg,9.91416,47.52194,1014.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg,True,True,,,,,nein
8805,11328,Achenkirch,11.70528,47.53222,904.0,1998-09-23 11:10:00+00:00,2016-10-05 00:00:00+00:00,Tirol,True,True,,151,1998-07-01 00:00:00+00:00,2016-10-31 23:59:59+00:00,nein
8806,11266,Achenkirch,11.70667,47.49944,931.0,2016-10-05 00:10:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,151,2016-11-01 00:00:00+00:00,,nein
9016,11130,Kufstein,12.16278,47.57528,490.0,1994-05-25 06:50:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,142,2003-01-01 00:00:00+00:00,,nein
9019,11069,Söll,12.20028,47.50306,697.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,214,2015-07-01 00:00:00+00:00,,nein
9105,11327,Kirchdorf in Tirol,12.46306,47.56611,636.6,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,nein
9110,11131,Kössen,12.39381,47.66289,588.2,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,nein
9211,11140,Lofer Ort,12.69528,47.58444,622.0,1999-04-07 09:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,129,2000-11-01 00:00:00+00:00,,nein
9215,11337,Loferer Alm,12.64611,47.59778,1619.0,1995-02-24 13:30:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,,,,nein
9406,11371,Golling,13.18178,47.59114,489.9,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,,,,nein
9501,11369,Abtenau,13.34333,47.56667,709.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,165,2008-06-25 00:00:00+00:00,,nein
9511,11357,St. Wolfgang,13.45,47.73694,539.0,1992-08-29 00:10:00+00:00,2013-10-01 00:00:00+00:00,Oberösterreich,True,False,,109,1990-02-01 00:00:00+00:00,2013-09-30 23:59:59+00:00,nein
9512,11357,St. Wolfgang,13.44194,47.74028,544.0,2013-10-01 00:10:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,False,,109,2013-10-01 00:00:00+00:00,,nein
9605,11354,Bad Goisern,13.61667,47.63333,510.0,1995-02-21 11:10:00+00:00,1997-12-21 23:50:00+00:00,Oberösterreich,True,True,,9,1995-01-01 00:00:00+00:00,1997-12-31 23:59:59+00:00,nein
9606,11354,Bad Goisern,13.61803,47.64256,502.1,1997-12-22 00:00:00+00:00,2016-02-09 00:00:00+00:00,Oberösterreich,True,True,,9,1998-01-01 00:00:00+00:00,2014-12-31 23:59:59+00:00,nein
9609,11256,Bad Goisern,13.64472,47.62194,538.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,9,2015-01-01 00:00:00+00:00,,nein
9618,11361,Bad Ischl,13.64714,47.70619,506.7,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,132,2007-07-01 00:00:00+00:00,,nein
9640,11356,Bad Aussee,13.78278,47.61111,667.0,1992-08-29 00:10:00+00:00,2013-01-24 00:00:00+00:00,Steiermark,True,False,,5,1983-09-01 00:00:00+00:00,2013-01-31 23:59:59+00:00,nein
9643,11356,Bad Aussee,13.75844,47.6105,743.1,2013-02-18 00:10:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,False,,5,2013-02-01 00:00:00+00:00,,nein
9700,11358,Bad Mitterndorf,13.93472,47.55333,814.0,1992-08-29 00:10:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,10,1983-11-01 00:00:00+00:00,,nein
9801,11157,Aigen im Ennstal,14.13826,47.53278,641.0,1992-11-13 13:40:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,2,1993-02-01 00:00:00+00:00,,nein
9811,11360,Irdning-Gumpenstein,14.09967,47.495,697.1,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,40,1993-02-01 00:00:00+00:00,,nein
9911,11167,Hall bei Admont,14.49083,47.59444,637.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,166,2008-01-01 00:00:00+00:00,,nein
9919,11355,Windischgarsten,14.32611,47.72028,599.9,1992-10-29 16:40:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,False,,108,1983-10-07 00:00:00+00:00,,nein
9925,11063,Rottenmann,14.43028,47.50767,707.2,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,nein
10005,11199,Mooslandl,14.76167,47.64753,529.9,2005-09-15 18:10:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,nein
10111,11161,Präbichl,14.95416,47.52158,1215.2,2000-09-26 09:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,153,2000-09-13 00:00:00+00:00,,nein
10200,11375,Aflenz,15.24069,47.54594,783.2,1992-10-08 12:30:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,1,1983-05-01 00:00:00+00:00,,nein
10401,11177,Mürzzuschlag,15.67278,47.60222,705.2,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,167,2009-01-01 00:00:00+00:00,,nein
10412,11180,Rax Seilbahnbergstation,15.77861,47.7175,1547.2,1994-10-20 13:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,nein
10415,11383,Semmering,15.82839,47.63325,987.6,1992-08-29 00:10:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,88,1998-11-01 00:00:00+00:00,,nein
10500,11185,Mönichkirchen,16.03333,47.51111,991.0,1992-11-11 10:50:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,63,1983-07-01 00:00:00+00:00,,nein
10510,11380,Reichenau an der Rax,15.83694,47.69972,488.0,1992-08-29 00:10:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,80,1983-01-01 00:00:00+00:00,,nein
10531,11381,Pottschach,16.00806,47.70083,416.4,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,169,2008-01-01 00:00:00+00:00,,nein
10550,11384,Hirschenkogel,15.83333,47.62333,1318.1,1994-06-13 14:30:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,nein
10607,11188,Aspang,16.10139,47.575,454.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,170,2008-01-01 00:00:00+00:00,,nein
10710,11189,Mattersburg,16.38917,47.745,283.9,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,True,,,,,nein
10720,11258,Neudorf bei Landsee,16.38139,47.56278,429.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,True,,,,,nein
11104,11101,Bregenz,9.74611,47.49917,424.0,1993-06-15 17:40:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg,True,True,,15,2008-01-01 00:00:00+00:00,,nein
11106,11104,Fraxern,9.67444,47.31417,807.0,2003-07-16 13:10:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg,True,True,,133,2004-01-01 00:00:00+00:00,,nein
11112,11302,Dornbirn,9.72556,47.4325,407.3,1993-06-16 11:30:00+00:00,2022-09-01 06:00:00+00:00,Vorarlberg,True,True,,171,1992-04-01 00:00:00+00:00,2022-08-31 23:59:59+00:00,nein
11114,11302,Dornbirn,9.72556,47.4325,407.3,2022-09-01 06:10:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg,True,True,,171,2022-09-01 00:00:00+00:00,,nein
11115,11105,Feldkirch,9.60972,47.27111,438.4,1994-04-18 09:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg,True,True,,24,1995-01-01 00:00:00+00:00,,nein
11116,11251,Laterns-Gapfohl,9.75992,47.27503,1558.7,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg,True,False,,,,,nein
11135,11301,Alberschwende,9.84861,47.4575,715.3,1996-01-16 19:30:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg,True,True,,,,,nein
11146,11299,Rohrspitz,9.63,47.49722,395.1,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg,True,True,,,,,nein
11203,11303,Schoppernau,10.01778,47.31139,839.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg,True,True,,172,2008-01-01 00:00:00+00:00,,nein
11301,11306,Schröcken,10.08611,47.26167,1244.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg,True,True,,173,2007-12-01 00:00:00+00:00,,nein
11305,11308,Warth,10.18611,47.25583,1478.0,1993-06-15 17:50:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg,True,True,,,,,nein
11311,11187,Mittelberg,10.1525,47.32333,1204.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg,True,True,,174,2009-06-01 00:00:00+00:00,,nein
11402,11315,Holzgau,10.33867,47.25758,1092.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,146,2008-01-01 00:00:00+00:00,,nein
11410,11111,Tannheim,10.50583,47.50028,1100.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,nein
11505,11314,Reutte,10.71528,47.49444,841.8,1994-12-06 10:40:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,76,1994-08-01 00:00:00+00:00,,nein
11603,11118,Ehrwald,10.92,47.40417,982.0,2005-12-31 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,20,2008-01-01 00:00:00+00:00,,nein
11706,11119,Seefeld,11.17542,47.32478,1181.9,1997-06-11 12:20:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,87,1997-06-01 00:00:00+00:00,,nein
11803,11320,Innsbruck Universität,11.38425,47.25986,578.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,39,1987-01-01 00:00:00+00:00,,nein
11804,11121,Innsbruck Flughafen,11.35667,47.25999,578.0,1992-11-24 13:20:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,175,2008-01-01 00:00:00+00:00,,nein
11901,11325,Jenbach,11.75814,47.38878,530.0,1995-01-19 07:40:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,42,1994-07-01 00:00:00+00:00,,nein
12015,11125,Alpbach,11.94028,47.39694,929.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,nein
12202,11336,Kitzbühel,12.39417,47.44722,746.1,2006-01-01 00:00:00+00:00,2014-03-25 00:00:00+00:00,Tirol,True,True,,118,2007-02-01 00:00:00+00:00,2014-03-21 23:59:59+00:00,nein
12203,11279,Kitzbühel,12.38917,47.44389,772.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,118,2014-11-18 00:00:00+00:00,,nein
12215,11135,Hahnenkamm-Ehrenbachhöhe,12.35928,47.41831,1793.8,1993-02-17 09:30:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,176,1992-11-13 00:00:00+00:00,,nein
12216,8989044,Hahnenkamm-Sonnenrast,12.359445,47.409168,1667.0,2019-09-16 11:10:00+00:00,2100-12-31 00:00:00+00:00,Tirol,False,False,,,,,nein
12231,11073,Mittersill,12.495833,47.279167,783.0,2017-12-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,195,2017-12-01 00:00:00+00:00,,nein
12302,11366,Saalbach,12.64844,47.38789,974.6,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,83,2009-01-01 00:00:00+00:00,,nein
12311,11340,Schmittenhöhe,12.73794,47.32872,1955.6,1992-08-29 00:10:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,85,1983-10-01 00:00:00+00:00,,nein
12322,11144,Zell am See,12.79528,47.32667,766.0,1992-08-29 00:10:00+00:00,2019-07-15 05:20:00+00:00,Salzburg,True,False,,113,1984-07-12 00:00:00+00:00,2019-07-15 23:59:59+00:00,nein
12323,11144,Zell am See,12.78639,47.29,754.0,2019-07-16 06:40:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,False,,113,2019-07-16 00:00:00+00:00,,nein
12351,11339,Hochfilzen,12.62111,47.47028,961.9,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,178,2007-11-27 00:00:00+00:00,,nein
12504,11141,Bischofshofen,13.22111,47.40667,549.9,1992-08-29 00:10:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,14,1996-09-01 00:00:00+00:00,,nein
12513,11345,St. Veit im Pongau,13.155,47.32917,749.0,2004-11-17 10:10:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,,,,nein
12530,11364,St. Johann im Pongau,13.18672,47.31981,634.2,2016-12-14 00:10:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,False,False,,156,2008-03-01 00:00:00+00:00,,nein
12615,11147,Radstadt,13.45611,47.38528,858.0,1994-12-05 12:30:00+00:00,2017-11-09 08:10:00+00:00,Salzburg,True,True,,73,1995-01-01 00:00:00+00:00,2016-08-31 23:59:59+00:00,nein
12616,11208,Radstadt-Tandalier,13.44083,47.38,835.0,2016-08-08 00:10:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,73,2016-09-01 00:00:00+00:00,,nein
12711,11351,Ramsau am Dachstein,13.63428,47.42514,1206.8,1992-08-29 00:10:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,179,1991-01-01 00:00:00+00:00,,nein
12720,11267,Dachstein-Hunerkogel,13.62639,47.46778,2700.0,2017-06-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,,,,nein
12721,11268,Dachstein-Schladminger Gletscher,13.6325,47.474445,2520.0,2017-11-13 14:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,False,False,,,,,nein
12811,11359,Gröbming,13.90422,47.44678,765.5,2001-10-03 11:40:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,147,2001-10-01 00:00:00+00:00,,nein
13116,11166,Seckau,14.77861,47.27083,872.0,2001-11-08 16:10:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,124,2002-02-01 00:00:00+00:00,,nein
13120,11362,Kalwang,14.75961,47.42126,743.6,1994-05-17 14:30:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,44,1994-04-01 00:00:00+00:00,,nein
13250,11174,St. Michael bei Leoben,15.005,47.335556,570.0,1992-08-29 00:10:00+00:00,2013-05-15 00:00:00+00:00,Steiermark,True,True,,,,,nein
13302,11175,Bruck an der Mur,15.24972,47.40556,482.0,2004-10-28 13:10:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,17,2005-01-01 00:00:00+00:00,,nein
13305,11370,Kapfenberg,15.29828,47.44592,504.7,1997-02-17 12:40:00+00:00,2018-05-23 04:50:00+00:00,Steiermark,True,True,,217,1997-03-01 00:00:00+00:00,2018-05-22 23:59:59+00:00,nein
13308,11249,Frohnleiten,15.315,47.25556,421.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,nein
13312,11274,Leoben,15.08667,47.37833,544.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,nein
13401,11176,Kapfenberg Flugfeld,15.33556,47.45833,515.0,2018-05-23 14:50:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,217,2018-05-23 00:00:00+00:00,,nein
13515,11173,Fischbach,15.64389,47.44417,1034.4,2004-11-09 12:10:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,25,1996-01-01 00:00:00+00:00,,nein
13605,11390,Hartberg,15.97861,47.28056,329.6,1994-10-24 13:10:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,nein
13606,11398,Rohrbach an der Lafnitz/Eichberg,15.93694,47.4,692.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,nein
13640,8989042,Kroisegg,16.042223,47.378613,444.0,2016-06-07 00:10:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,True,,,,,nein
13702,11197,Bernstein,16.26139,47.40833,630.8,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,True,,13,2008-01-01 00:00:00+00:00,,nein
13706,11193,Bad Tatzmannsdorf,16.225,47.33797,347.2,2004-09-17 09:50:00+00:00,2024-01-24 14:00:00+00:00,Burgenland,True,False,,140,2004-09-17 00:00:00+00:00,2024-01-24 23:59:59+00:00,nein
13707,11193,Bad Tatzmannsdorf,16.228056,47.328056,332.0,2024-01-24 14:10:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,False,,140,2024-01-25 00:00:00+00:00,,nein
13805,11397,Hirschenstein,16.379168,47.345276,858.9,2006-01-01 00:00:00+00:00,2014-09-18 00:00:00+00:00,Burgenland,True,True,,,,,nein
13811,11396,Rechnitz,16.45417,47.30139,308.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,False,,180,2006-12-01 00:00:00+00:00,,nein
13906,11393,Lutzmannsburg,16.66056,47.46417,201.0,1995-10-03 09:30:00+00:00,2000-05-31 23:50:00+00:00,Burgenland,True,False,,58,1995-11-01 00:00:00+00:00,2000-05-31 23:59:59+00:00,nein
13907,11393,Lutzmannsburg,16.64556,47.46528,200.8,2000-06-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,True,,58,2000-06-01 00:00:00+00:00,,nein
14103,11099,Bludenz,9.82944,47.14778,571.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg,True,True,,181,2015-09-15 00:00:00+00:00,,nein
14104,11102,Bludenz,9.823611,47.154167,564.8,2006-01-01 00:00:00+00:00,2015-09-11 00:00:00+00:00,Vorarlberg,True,True,,181,2007-08-01 00:00:00+00:00,2015-09-09 13:00:00+00:00,nein
14115,11304,Brand,9.73833,47.10306,1029.0,2001-06-01 00:40:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg,True,True,,,,,nein
14302,11311,St. Anton am Arlberg,10.26667,47.13139,1304.1,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,119,2008-01-01 00:00:00+00:00,,nein
14305,11110,Galzig,10.23028,47.12972,2079.0,1994-02-09 11:40:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,nein
14308,11124,Valluga,10.21278,47.1575,2805.0,2016-12-14 00:10:00+00:00,2100-12-31 00:00:00+00:00,Tirol,False,False,,,,,nein
14311,11307,Langen am Arlberg,10.12333,47.13167,1221.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg,True,True,,,,,nein
14403,11112,Landeck,10.56364,47.14025,795.6,1993-12-23 09:50:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,50,1993-07-01 00:00:00+00:00,,nein
14513,11115,Imst,10.74222,47.23694,773.0,2007-08-20 00:10:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,38,2008-01-01 00:00:00+00:00,,nein
14521,11313,Prutz,10.66472,47.06861,871.0,2004-11-30 17:10:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,138,2004-12-01 00:00:00+00:00,,nein
14603,11309,Haiming,10.88944,47.25972,659.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,126,2007-08-20 00:00:00+00:00,,nein
14622,11317,St. Leonhard im Pitztal,10.86556,47.02722,1454.4,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,210,2008-01-01 00:00:00+00:00,,nein
14631,11117,Umhausen,10.92889,47.13917,1035.0,2003-06-01 00:10:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,136,2003-10-01 00:00:00+00:00,,nein
14701,11324,Neustift/Milders,11.29194,47.10278,1006.6,2004-11-04 17:30:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,nein
14801,11128,Brenner,11.513333,47.005554,1445.0,1992-12-16 10:30:00+00:00,2008-02-01 00:00:00+00:00,Tirol,True,True,,16,1993-01-01 00:00:00+00:00,2007-11-30 23:59:59+00:00,nein
14802,11129,Brenner,11.51083,47.00722,1412.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,16,2007-12-01 00:00:00+00:00,,nein
14812,11126,Patscherkofel,11.46222,47.20889,2251.0,1993-08-25 13:40:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,196,2008-01-01 00:00:00+00:00,,nein
14822,11123,Rinn,11.50389,47.24917,924.1,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,127,2008-01-01 00:00:00+00:00,,nein
14825,11326,Schmirn,11.58028,47.08722,1464.0,2004-11-03 16:10:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,nein
14833,11329,Steinach am Brenner,11.46611,47.09833,1036.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,139,2008-01-01 00:00:00+00:00,,nein
14912,11250,Hintertux,11.675,47.10694,1503.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,False,,,,,nein
15001,11322,Mayrhofen,11.850555,47.159443,643.0,1992-11-21 00:10:00+00:00,2007-09-06 00:00:00+00:00,Tirol,True,True,,61,1992-09-01 00:00:00+00:00,2007-08-31 23:59:59+00:00,nein
15002,11330,Mayrhofen,11.85139,47.1625,640.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,61,2007-09-01 00:00:00+00:00,,nein
15105,11136,Krimml,12.18197,47.22911,1008.8,1997-06-27 10:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,47,1997-09-01 00:00:00+00:00,,nein
15210,11252,Virgen,12.45592,47.00278,1211.9,1993-05-21 09:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,nein
15321,11138,Rudolfshütte,12.62594,47.13492,2317.0,1992-12-02 08:50:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,82,1992-12-01 00:00:00+00:00,,nein
15344,11200,Kals,12.6465,47.00478,1352.4,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,43,2007-08-01 00:00:00+00:00,,nein
15402,11346,Rauris,12.99262,47.22353,933.8,1993-06-17 08:50:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,78,1993-06-01 00:00:00+00:00,,nein
15411,11343,Sonnblick,12.9575,47.05417,3109.0,1997-08-31 16:40:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,213,2009-01-01 00:00:00+00:00,,nein
15430,11344,Kolm-Saigurn,12.98472,47.06944,1626.2,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,,,,nein
15501,11372,Bad Gastein,13.13336,47.11056,1092.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,7,2010-01-01 00:00:00+00:00,,nein
15509,11179,Großarltal,13.19478,47.24144,882.3,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,False,,,,,nein
15600,11149,Obertauern,13.56667,47.26667,1742.0,1992-08-29 00:10:00+00:00,1994-04-20 14:00:00+00:00,Salzburg,True,True,,68,1984-09-01 00:00:00+00:00,1994-03-31 23:59:59+00:00,nein
15610,11149,Obertauern,13.55972,47.24889,1772.0,1994-12-14 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,68,1995-01-01 00:00:00+00:00,,nein
15640,8989078,Kölnbreinsperre,13.346111,47.08305,1916.0,2021-11-23 00:20:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,,,,nein
15702,11148,St. Michael im Lungau,13.62269,47.09447,1051.9,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,92,2008-11-01 00:00:00+00:00,,nein
15712,11399,Tamsweg,13.80833,47.13306,1025.0,2008-07-09 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,98,2008-10-01 00:00:00+00:00,,nein
15715,11349,Katschberg,13.61472,47.06056,1635.0,1998-11-10 13:20:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,,,,nein
